seq0 seq1 length score
serrano115 amypro6 162 (16.0)
serrano116 amypro6 162 (6.0)
serrano117 amypro6 162 (7.0)
serrano118 amypro6 166 (6.0)
serrano119 amypro6 162 (14.0)
serrano120 amypro6 162 (5.0)
serrano121 amypro6 162 (5.0)
serrano122 amypro6 162 (10.0)
serrano123 amypro6 162 (5.0)
serrano124 amypro6 162 (6.0)
serrano125 amypro6 165 (7.0)
serrano126 amypro6 162 (17.0)
serrano127 amypro6 162 (14.0)
serrano128 amypro6 162 (8.0)
serrano129 amypro6 162 (14.0)
serrano130 amypro6 164 (11.5)
serrano131 amypro6 164 (18.0)
serrano132 amypro6 166 (19.5)
serrano133 amypro6 162 (15.5)
serrano134 amypro6 162 (13.0)
serrano135 amypro6 162 (9.0)
serrano136 amypro6 162 (17.0)
serrano137 amypro6 163 (10.0)
serrano138 amypro6 164 (8.5)
serrano139 amypro6 162 (18.0)
serrano140 amypro6 162 (7.0)
serrano141 amypro6 162 (10.0)
serrano142 amypro6 162 (10.0)
serrano143 amypro6 164 (24.0)
serrano144 amypro6 163 (24.0)
serrano145 amypro6 163 (9.0)
serrano146 amypro6 162 (6.5)
serrano147 amypro6 167 (8.0)
serrano148 amypro6 162 (11.0)
serrano149 amypro6 162 (10.0)
serrano150 amypro6 162 (11.0)
serrano151 amypro6 163 (14.0)
serrano152 amypro6 164 (13.5)
serrano153 amypro6 162 (14.0)
serrano154 amypro6 162 (17.0)
serrano155 amypro6 162 (22.5)
serrano156 amypro6 173 (10.0)
serrano157 amypro6 168 (11.0)
serrano158 amypro6 162 (11.0)
serrano159 amypro6 162 (20.0)
serrano160 amypro6 162 (13.0)
serrano161 amypro6 162 (19.0)
serrano162 amypro6 173 (5.0)
serrano163 amypro6 162 (11.0)
serrano164 amypro6 169 (5.0)
serrano165 amypro6 162 (14.0)
serrano166 amypro6 162 (7.5)
serrano167 amypro6 162 (11.5)
serrano168 amypro6 173 (14.0)
serrano169 amypro6 162 (13.0)
serrano170 amypro6 162 (8.0)
serrano171 amypro6 174 (11.0)
serrano172 amypro6 171 (11.0)
serrano173 amypro6 162 (16.0)
serrano174 amypro6 165 (17.0)
serrano175 amypro6 162 (16.5)
serrano176 amypro6 162 (12.0)
serrano177 amypro6 165 (7.0)
serrano178 amypro6 162 (7.0)
serrano179 amypro6 163 (13.0)
serrano180 amypro6 162 (10.0)
serrano181 amypro6 170 (9.0)
serrano182 amypro6 162 (8.0)
serrano183 amypro6 164 (5.5)
serrano184 amypro6 162 (12.0)
serrano185 amypro6 162 (12.0)
serrano186 amypro6 163 (12.0)
serrano187 amypro6 162 (9.0)
serrano188 amypro6 163 (9.0)
serrano189 amypro6 162 (11.0)
serrano190 amypro6 162 (8.0)
serrano191 amypro6 163 (8.0)
serrano192 amypro6 162 (9.0)
serrano193 amypro6 164 (7.0)
serrano194 amypro6 162 (6.0)
serrano195 amypro6 163 (19.0)
serrano196 amypro6 162 (12.0)
serrano197 amypro6 162 (15.0)
serrano198 amypro6 162 (11.5)
serrano199 amypro6 162 (10.5)
serrano200 amypro6 164 (12.0)
serrano201 amypro6 163 (14.0)
serrano202 amypro6 166 (11.0)
serrano203 amypro6 165 (9.0)
serrano204 amypro6 162 (12.0)
serrano205 amypro6 162 (11.0)
serrano206 amypro6 162 (12.0)
serrano207 amypro6 162 (13.0)
serrano208 amypro6 168 (12.0)
serrano209 amypro6 162 (13.0)
serrano210 amypro6 162 (5.0)
serrano211 amypro6 162 (9.5)
serrano212 amypro6 162 (12.0)
serrano213 amypro6 162 (25.0)
serrano214 amypro6 162 (6.0)
serrano215 amypro6 162 (6.5)
serrano216 amypro6 162 (10.0)
serrano217 amypro6 162 (14.0)
serrano218 amypro6 162 (14.0)
serrano219 amypro6 162 (6.5)
serrano220 amypro6 162 (7.0)
serrano221 amypro6 162 (13.0)
serrano222 amypro6 167 (18.0)
serrano223 amypro6 162 (10.0)
serrano224 amypro6 162 (7.0)
serrano225 amypro6 162 (14.0)
serrano226 amypro6 162 (16.0)
serrano227 amypro6 162 (11.0)
serrano228 amypro6 162 (9.5)
serrano229 amypro6 162 (14.0)
serrano230 amypro6 162 (13.0)
serrano231 amypro6 162 (17.0)
serrano232 amypro6 162 (15.0)
serrano233 amypro6 162 (9.0)
serrano234 amypro6 162 (8.0)
serrano235 amypro6 162 (18.0)
serrano236 amypro6 162 (18.0)
serrano237 amypro6 163 (15.0)
serrano238 amypro6 162 (12.5)
serrano239 amypro6 162 (16.0)
serrano240 amypro6 162 (13.0)
serrano241 amypro6 162 (12.0)
serrano242 amypro6 162 (20.0)
serrano243 amypro6 162 (17.0)
serrano244 amypro6 162 (24.0)
serrano245 amypro6 163 (13.0)
serrano246 amypro6 162 (9.0)
serrano247 amypro6 162 (10.0)
serrano0 amypro7 153 (10.0)
serrano1 amypro7 153 (8.5)
serrano2 amypro7 154 (13.0)
serrano3 amypro7 155 (8.5)
serrano4 amypro7 158 (11.5)
serrano5 amypro7 153 (20.0)
serrano6 amypro7 153 (12.0)
serrano7 amypro7 153 (12.0)
serrano8 amypro7 157 (18.5)
serrano9 amypro7 153 (12.0)
serrano10 amypro7 173 (10.0)
serrano11 amypro7 158 (5.0)
serrano12 amypro7 153 (13.0)
serrano13 amypro7 158 (13.0)
serrano14 amypro7 153 (20.0)
serrano15 amypro7 173 (14.0)
serrano16 amypro7 153 (12.0)
serrano17 amypro7 153 (11.0)
serrano18 amypro7 153 (8.0)
serrano19 amypro7 153 (12.0)
serrano20 amypro7 153 (12.0)
serrano21 amypro7 168 (22.0)
serrano22 amypro7 153 (13.5)
serrano23 amypro7 153 (14.5)
serrano24 amypro7 153 (14.0)
serrano25 amypro7 153 (13.0)
serrano26 amypro7 153 (16.0)
serrano27 amypro7 153 (18.0)
serrano28 amypro7 153 (15.0)
serrano29 amypro7 153 (19.0)
serrano30 amypro7 155 (12.0)
serrano31 amypro7 153 (16.0)
serrano32 amypro7 153 (14.0)
serrano33 amypro7 157 (16.5)
serrano34 amypro7 153 (18.0)
serrano35 amypro7 153 (16.0)
serrano36 amypro7 153 (17.0)
serrano37 amypro7 153 (13.5)
serrano38 amypro7 153 (8.0)
serrano39 amypro7 153 (8.0)
serrano40 amypro7 153 (10.0)
serrano41 amypro7 153 (13.0)
serrano42 amypro7 153 (12.5)
serrano43 amypro7 153 (12.5)
serrano44 amypro7 153 (12.5)
serrano45 amypro7 153 (10.0)
serrano46 amypro7 153 (9.0)
serrano47 amypro7 153 (11.5)
serrano48 amypro7 153 (14.5)
serrano49 amypro7 153 (24.0)
serrano50 amypro7 153 (17.0)
serrano51 amypro7 153 (17.0)
serrano52 amypro7 153 (25.0)
serrano53 amypro7 153 (12.0)
serrano54 amypro7 153 (16.0)
serrano55 amypro7 153 (15.0)
serrano56 amypro7 153 (12.0)
serrano57 amypro7 153 (10.5)
serrano58 amypro7 153 (17.0)
serrano59 amypro7 153 (13.0)
serrano60 amypro7 153 (17.0)
serrano61 amypro7 153 (7.0)
serrano62 amypro7 153 (17.0)
serrano63 amypro7 153 (20.5)
serrano64 amypro7 153 (8.0)
serrano65 amypro7 159 (7.5)
serrano66 amypro7 160 (8.0)
serrano67 amypro7 153 (11.0)
serrano68 amypro7 153 (21.0)
serrano69 amypro7 153 (19.0)
serrano70 amypro7 161 (13.0)
serrano71 amypro7 153 (10.0)
serrano72 amypro7 156 (12.0)
serrano73 amypro7 153 (74.0)
serrano74 amypro7 153 (134.0)
serrano75 amypro7 153 (65.0)
serrano76 amypro7 153 (24.0)
serrano77 amypro7 153 (81.0)
serrano78 amypro7 153 (33.0)
serrano79 amypro7 153 (83.0)
serrano80 amypro7 153 (46.0)
serrano81 amypro7 153 (50.0)
serrano82 amypro7 153 (38.0)
serrano83 amypro7 153 (9.0)
serrano84 amypro7 153 (13.0)
serrano85 amypro7 166 (13.5)
serrano86 amypro7 153 (9.0)
serrano87 amypro7 153 (15.5)
serrano88 amypro7 153 (23.0)
serrano89 amypro7 153 (16.5)
serrano90 amypro7 156 (9.0)
serrano91 amypro7 153 (12.5)
serrano92 amypro7 153 (8.5)
serrano93 amypro7 158 (13.0)
serrano94 amypro7 153 (9.0)
serrano95 amypro7 153 (12.0)
serrano96 amypro7 153 (8.0)
serrano97 amypro7 153 (9.0)
serrano98 amypro7 153 (10.0)
serrano99 amypro7 153 (23.0)
serrano100 amypro7 153 (13.0)
serrano101 amypro7 153 (9.0)
serrano102 amypro7 153 (8.0)
serrano103 amypro7 153 (6.0)
serrano104 amypro7 153 (9.0)
serrano105 amypro7 153 (6.0)
serrano106 amypro7 153 (8.0)
serrano107 amypro7 154 (14.0)
serrano108 amypro7 153 (14.0)
serrano109 amypro7 153 (8.0)
serrano110 amypro7 153 (11.0)
serrano111 amypro7 153 (13.0)
serrano112 amypro7 153 (12.0)
serrano113 amypro7 153 (9.0)
serrano114 amypro7 153 (6.0)
serrano115 amypro7 153 (3.0)
serrano116 amypro7 154 (9.0)
serrano117 amypro7 153 (13.0)
serrano118 amypro7 153 (11.0)
serrano119 amypro7 164 (6.0)
serrano120 amypro7 156 (8.0)
serrano121 amypro7 153 (12.0)
serrano122 amypro7 153 (13.0)
serrano123 amypro7 153 (11.0)
serrano124 amypro7 154 (14.0)
serrano125 amypro7 157 (12.0)
serrano126 amypro7 153 (9.0)
serrano127 amypro7 153 (16.0)
serrano128 amypro7 153 (9.0)
serrano129 amypro7 153 (7.0)
serrano130 amypro7 153 (17.0)
serrano131 amypro7 154 (21.0)
serrano132 amypro7 153 (12.0)
serrano133 amypro7 161 (10.5)
serrano134 amypro7 153 (11.0)
serrano135 amypro7 153 (14.0)
serrano136 amypro7 153 (19.0)
serrano137 amypro7 153 (15.0)
serrano138 amypro7 160 (16.0)
serrano139 amypro7 153 (10.0)
serrano140 amypro7 154 (12.0)
serrano141 amypro7 161 (10.0)
serrano142 amypro7 161 (10.0)
serrano143 amypro7 153 (24.0)
serrano144 amypro7 153 (26.0)
serrano145 amypro7 153 (9.0)
serrano146 amypro7 153 (13.0)
serrano147 amypro7 153 (16.0)
serrano148 amypro7 153 (12.5)
serrano149 amypro7 158 (15.5)
serrano150 amypro7 167 (8.0)
serrano151 amypro7 153 (12.0)
serrano152 amypro7 153 (18.5)
serrano153 amypro7 153 (10.0)
serrano154 amypro7 153 (13.0)
serrano155 amypro7 153 (16.0)
serrano156 amypro7 153 (17.5)
serrano157 amypro7 153 (19.0)
serrano158 amypro7 155 (10.5)
serrano159 amypro7 153 (11.0)
serrano160 amypro7 153 (13.0)
serrano161 amypro7 159 (10.5)
serrano162 amypro7 153 (16.0)
serrano163 amypro7 153 (27.5)
serrano164 amypro7 157 (33.5)
serrano165 amypro7 153 (14.0)
serrano166 amypro7 154 (12.0)
serrano167 amypro7 167 (6.0)
serrano168 amypro7 153 (8.0)
serrano169 amypro7 154 (12.0)
serrano170 amypro7 159 (9.0)
serrano171 amypro7 155 (13.5)
serrano172 amypro7 171 (10.0)
serrano173 amypro7 153 (25.0)
serrano174 amypro7 153 (14.0)
serrano175 amypro7 153 (14.0)
serrano176 amypro7 155 (12.5)
serrano177 amypro7 155 (15.0)
serrano178 amypro7 153 (9.0)
serrano179 amypro7 153 (16.0)
serrano180 amypro7 153 (11.0)
serrano181 amypro7 153 (16.5)
serrano182 amypro7 153 (14.0)
serrano183 amypro7 153 (18.0)
serrano184 amypro7 153 (7.0)
serrano185 amypro7 153 (12.0)
serrano186 amypro7 153 (14.0)
serrano187 amypro7 153 (7.0)
serrano188 amypro7 153 (12.0)
serrano189 amypro7 153 (6.0)
serrano190 amypro7 153 (5.0)
serrano191 amypro7 153 (6.0)
serrano192 amypro7 153 (13.0)
serrano193 amypro7 153 (9.0)
serrano194 amypro7 153 (12.0)
serrano195 amypro7 153 (16.0)
serrano196 amypro7 153 (12.0)
serrano197 amypro7 153 (15.0)
serrano198 amypro7 153 (13.0)
serrano199 amypro7 153 (4.0)
serrano200 amypro7 153 (5.0)
serrano201 amypro7 153 (9.0)
serrano202 amypro7 153 (8.0)
serrano203 amypro7 153 (8.0)
serrano204 amypro7 153 (10.0)
serrano205 amypro7 153 (6.0)
serrano206 amypro7 153 (12.0)
serrano207 amypro7 153 (14.0)
serrano208 amypro7 153 (12.0)
serrano209 amypro7 153 (18.0)
serrano210 amypro7 158 (16.0)
serrano211 amypro7 155 (19.0)
serrano212 amypro7 156 (7.0)
serrano213 amypro7 153 (11.0)
serrano214 amypro7 153 (11.0)
serrano215 amypro7 153 (11.0)
serrano216 amypro7 153 (11.0)
serrano217 amypro7 153 (5.0)
serrano218 amypro7 153 (11.0)
serrano219 amypro7 157 (11.0)
serrano220 amypro7 153 (13.0)
serrano221 amypro7 153 (8.0)
serrano222 amypro7 153 (7.0)
serrano223 amypro7 153 (8.0)
serrano224 amypro7 153 (13.0)
serrano225 amypro7 153 (12.0)
serrano226 amypro7 157 (3.0)
serrano227 amypro7 153 (9.0)
serrano228 amypro7 153 (9.0)
serrano229 amypro7 153 (5.0)
serrano230 amypro7 153 (8.0)
serrano231 amypro7 153 (10.0)
serrano232 amypro7 153 (9.0)
serrano233 amypro7 153 (21.0)
serrano234 amypro7 153 (14.0)
serrano235 amypro7 155 (8.5)
serrano236 amypro7 154 (16.0)
serrano237 amypro7 153 (13.0)
serrano238 amypro7 153 (16.0)
serrano239 amypro7 153 (16.0)
serrano240 amypro7 153 (14.0)
serrano241 amypro7 157 (10.0)
serrano242 amypro7 153 (9.0)
serrano243 amypro7 153 (11.0)
serrano244 amypro7 153 (10.0)
serrano245 amypro7 153 (7.0)
serrano246 amypro7 153 (5.0)
serrano247 amypro7 153 (12.0)
serrano0 amypro8 52 (23.0)
serrano1 amypro8 52 (18.0)
serrano2 amypro8 52 (19.0)
serrano3 amypro8 52 (21.0)
serrano4 amypro8 67 (19.0)
serrano5 amypro8 65 (14.0)
serrano6 amypro8 58 (18.5)
serrano7 amypro8 52 (11.0)
serrano8 amypro8 60 (27.5)
serrano9 amypro8 52 (6.0)
serrano10 amypro8 62 (18.5)
serrano11 amypro8 52 (13.0)
serrano12 amypro8 52 (9.0)
serrano13 amypro8 52 (19.0)
serrano14 amypro8 58 (23.0)
serrano15 amypro8 66 (18.5)
serrano16 amypro8 52 (6.0)
serrano17 amypro8 52 (8.0)
serrano18 amypro8 56 (9.0)
serrano19 amypro8 55 (19.5)
serrano20 amypro8 53 (15.0)
serrano21 amypro8 75 (24.0)
serrano22 amypro8 63 (11.0)
serrano23 amypro8 63 (11.0)
serrano24 amypro8 63 (11.0)
serrano25 amypro8 63 (11.0)
serrano26 amypro8 60 (6.0)
serrano27 amypro8 60 (6.0)
serrano28 amypro8 60 (6.0)
serrano29 amypro8 63 (11.0)
serrano30 amypro8 60 (6.0)
serrano31 amypro8 60 (6.0)
serrano32 amypro8 64 (11.0)
serrano33 amypro8 61 (5.0)
serrano34 amypro8 64 (12.0)
serrano35 amypro8 52 (9.0)
serrano36 amypro8 60 (6.0)
serrano37 amypro8 63 (11.0)
serrano38 amypro8 56 (5.0)
serrano39 amypro8 57 (5.0)
serrano40 amypro8 52 (5.0)
serrano41 amypro8 62 (6.0)
serrano42 amypro8 63 (4.0)
serrano43 amypro8 64 (10.0)
serrano44 amypro8 65 (11.0)
serrano45 amypro8 66 (11.0)
serrano46 amypro8 67 (9.0)
serrano47 amypro8 68 (9.0)
serrano48 amypro8 69 (13.0)
serrano49 amypro8 62 (7.0)
serrano50 amypro8 61 (18.0)
serrano51 amypro8 52 (9.0)
serrano52 amypro8 54 (8.0)
serrano53 amypro8 52 (10.5)
serrano54 amypro8 52 (9.0)
serrano55 amypro8 62 (2.0)
serrano56 amypro8 53 (13.0)
serrano57 amypro8 55 (7.0)
serrano58 amypro8 52 (6.5)
serrano59 amypro8 62 (10.0)
serrano60 amypro8 65 (6.0)
serrano61 amypro8 62 (7.0)
serrano62 amypro8 52 (7.0)
serrano63 amypro8 52 (7.0)
serrano65 amypro8 69 (7.0)
serrano66 amypro8 62 (3.5)
serrano67 amypro8 63 (5.0)
serrano69 amypro8 62 (7.0)
serrano70 amypro8 61 (5.0)
serrano71 amypro8 68 (6.0)
serrano72 amypro8 64 (4.0)
serrano73 amypro8 52 (18.0)
serrano74 amypro8 56 (8.0)
serrano75 amypro8 52 (7.0)
serrano76 amypro8 57 (5.0)
serrano77 amypro8 60 (1.5)
serrano78 amypro8 52 (5.0)
serrano79 amypro8 54 (9.5)
serrano80 amypro8 59 (5.0)
serrano81 amypro8 58 (6.0)
serrano82 amypro8 53 (7.0)
serrano83 amypro8 54 (1.5)
serrano84 amypro8 52 (9.0)
serrano85 amypro8 72 (6.0)
serrano86 amypro8 53 (11.0)
serrano87 amypro8 75 (6.0)
serrano88 amypro8 52 (7.0)
serrano89 amypro8 65 (6.0)
serrano90 amypro8 52 (10.0)
serrano91 amypro8 60 (4.0)
serrano92 amypro8 57 (9.0)
serrano93 amypro8 57 (6.5)
serrano94 amypro8 52 (6.0)
serrano95 amypro8 52 (10.0)
serrano96 amypro8 52 (8.0)
serrano97 amypro8 57 (9.0)
serrano98 amypro8 52 (5.0)
serrano99 amypro8 65 (8.0)
serrano100 amypro8 52 (8.0)
serrano101 amypro8 52 (7.0)
serrano102 amypro8 57 (11.0)
serrano103 amypro8 52 (16.0)
serrano104 amypro8 52 (14.0)
serrano105 amypro8 52 (8.0)
serrano106 amypro8 52 (2.0)
serrano107 amypro8 52 (14.0)
serrano108 amypro8 52 (9.0)
serrano109 amypro8 52 (13.0)
serrano110 amypro8 52 (11.0)
serrano111 amypro8 52 (9.0)
serrano112 amypro8 52 (5.0)
serrano113 amypro8 52 (6.0)
serrano114 amypro8 52 (4.0)
serrano115 amypro8 52 (8.0)
serrano116 amypro8 53 (12.0)
serrano117 amypro8 52 (16.0)
serrano118 amypro8 59 (16.5)
serrano119 amypro8 66 (2.0)
serrano120 amypro8 65 (4.0)
serrano121 amypro8 58 (3.0)
serrano122 amypro8 61 (10.0)
serrano123 amypro8 62 (6.0)
serrano124 amypro8 62 (10.0)
serrano125 amypro8 59 (5.0)
serrano126 amypro8 52 (5.0)
serrano127 amypro8 63 (6.0)
serrano128 amypro8 54 (8.0)
serrano129 amypro8 53 (4.0)
serrano130 amypro8 64 (2.5)
serrano131 amypro8 78 (2.0)
serrano132 amypro8 56 (2.0)
serrano133 amypro8 63 (6.0)
serrano134 amypro8 52 (10.0)
serrano135 amypro8 58 (3.0)
serrano136 amypro8 58 (9.0)
serrano137 amypro8 68 (6.0)
serrano138 amypro8 61 (14.5)
serrano139 amypro8 55 (4.0)
serrano140 amypro8 59 (5.0)
serrano141 amypro8 68 (14.5)
serrano142 amypro8 68 (14.5)
serrano143 amypro8 69 (6.0)
serrano144 amypro8 69 (6.0)
serrano145 amypro8 62 (11.0)
serrano146 amypro8 62 (10.0)
serrano147 amypro8 66 (8.0)
serrano148 amypro8 61 (10.0)
serrano149 amypro8 65 (6.5)
serrano150 amypro8 56 (5.5)
serrano151 amypro8 52 (11.0)
serrano152 amypro8 54 (10.5)
serrano153 amypro8 62 (4.0)
serrano154 amypro8 53 (10.0)
serrano155 amypro8 57 (7.0)
serrano156 amypro8 52 (9.0)
serrano157 amypro8 66 (4.0)
serrano158 amypro8 52 (9.0)
serrano159 amypro8 64 (8.0)
serrano160 amypro8 62 (15.0)
serrano161 amypro8 64 (3.0)
serrano162 amypro8 54 (9.5)
serrano163 amypro8 69 (1.0)
serrano164 amypro8 63 (3.0)
serrano165 amypro8 62 (9.0)
serrano166 amypro8 52 (5.0)
serrano167 amypro8 64 (5.0)
serrano168 amypro8 73 (10.0)
serrano169 amypro8 57 (5.0)
serrano170 amypro8 70 (2.0)
serrano171 amypro8 53 (10.0)
serrano172 amypro8 72 (11.0)
serrano173 amypro8 52 (7.0)
serrano174 amypro8 68 (3.0)
serrano175 amypro8 67 (13.0)
serrano176 amypro8 57 (5.0)
serrano177 amypro8 52 (17.0)
serrano178 amypro8 59 (6.0)
serrano179 amypro8 52 (5.0)
serrano180 amypro8 58 (8.0)
serrano181 amypro8 55 (13.0)
serrano182 amypro8 52 (13.0)
serrano183 amypro8 52 (9.0)
serrano184 amypro8 52 (11.0)
serrano185 amypro8 52 (13.0)
serrano186 amypro8 54 (8.0)
serrano187 amypro8 52 (3.0)
serrano188 amypro8 52 (5.0)
serrano189 amypro8 55 (4.0)
serrano190 amypro8 58 (4.0)
serrano191 amypro8 59 (3.0)
serrano192 amypro8 60 (7.0)
serrano193 amypro8 52 (17.0)
serrano194 amypro8 56 (13.0)
serrano195 amypro8 59 (5.0)
serrano196 amypro8 58 (3.0)
serrano197 amypro8 52 (8.0)
serrano198 amypro8 52 (4.0)
serrano199 amypro8 52 (11.0)
serrano200 amypro8 55 (13.0)
serrano201 amypro8 57 (7.0)
serrano202 amypro8 52 (8.0)
serrano203 amypro8 53 (1.0)
serrano204 amypro8 52 (8.0)
serrano205 amypro8 52 (9.0)
serrano206 amypro8 52 (3.0)
serrano207 amypro8 52 (3.0)
serrano208 amypro8 61 (2.0)
serrano209 amypro8 52 (10.0)
serrano210 amypro8 54 (8.0)
serrano211 amypro8 52 (5.0)
serrano212 amypro8 54 (11.0)
serrano213 amypro8 58 (14.0)
serrano214 amypro8 52 (12.0)
serrano215 amypro8 61 (6.0)
serrano216 amypro8 52 (5.0)
serrano217 amypro8 55 (3.0)
serrano218 amypro8 55 (9.0)
serrano219 amypro8 58 (6.0)
serrano220 amypro8 54 (13.0)
serrano221 amypro8 52 (12.0)
serrano222 amypro8 52 (16.0)
serrano223 amypro8 52 (10.0)
serrano224 amypro8 54 (11.0)
serrano225 amypro8 53 (8.0)
serrano226 amypro8 58 (10.0)
serrano227 amypro8 53 (7.0)
serrano228 amypro8 61 (1.0)
serrano229 amypro8 52 (18.0)
serrano230 amypro8 57 (11.0)
serrano231 amypro8 52 (14.0)
serrano232 amypro8 52 (3.0)
serrano233 amypro8 52 (5.0)
serrano234 amypro8 52 (7.0)
serrano235 amypro8 59 (5.0)
serrano236 amypro8 52 (6.0)
serrano237 amypro8 52 (9.0)
serrano238 amypro8 52 (6.0)
serrano239 amypro8 52 (8.0)
serrano240 amypro8 52 (6.0)
serrano241 amypro8 56 (7.0)
serrano242 amypro8 61 (5.0)
serrano243 amypro8 52 (1.0)
serrano244 amypro8 60 (6.0)
serrano245 amypro8 59 (4.0)
serrano246 amypro8 56 (5.0)
serrano247 amypro8 55 (8.0)
serrano0 amypro9 84 (17.5)
serrano1 amypro9 84 (13.0)
serrano2 amypro9 84 (12.5)
serrano3 amypro9 84 (17.0)
serrano4 amypro9 92 (11.0)
serrano5 amypro9 108 (11.0)
serrano6 amypro9 92 (10.5)
serrano7 amypro9 101 (13.0)
serrano8 amypro9 96 (13.5)
serrano9 amypro9 86 (5.0)
serrano10 amypro9 96 (10.5)
serrano11 amypro9 84 (12.0)
serrano12 amypro9 92 (13.0)
serrano13 amypro9 99 (9.0)
serrano14 amypro9 96 (15.0)
serrano15 amypro9 100 (10.5)
serrano16 amypro9 84 (12.0)
serrano17 amypro9 84 (7.0)
serrano18 amypro9 84 (6.0)
serrano19 amypro9 84 (15.0)
serrano20 amypro9 84 (10.0)
serrano21 amypro9 96 (15.5)
serrano22 amypro9 87 (13.0)
serrano23 amypro9 88 (7.5)
serrano24 amypro9 97 (6.0)
serrano25 amypro9 84 (9.0)
serrano26 amypro9 84 (6.0)
serrano27 amypro9 90 (4.0)
serrano28 amypro9 90 (4.0)
serrano29 amypro9 84 (10.0)
serrano30 amypro9 84 (7.0)
serrano31 amypro9 90 (2.0)
serrano32 amypro9 98 (6.0)
serrano33 amypro9 98 (6.0)
serrano34 amypro9 93 (9.0)
serrano35 amypro9 94 (9.0)
serrano36 amypro9 90 (4.0)
serrano37 amypro9 88 (6.5)
serrano38 amypro9 84 (1.0)
serrano39 amypro9 84 (6.0)
serrano40 amypro9 91 (5.0)
serrano41 amypro9 92 (4.0)
serrano42 amypro9 93 (1.0)
serrano43 amypro9 88 (7.5)
serrano44 amypro9 88 (6.5)
serrano45 amypro9 87 (13.0)
serrano46 amypro9 88 (12.0)
serrano47 amypro9 89 (12.0)
serrano48 amypro9 90 (11.5)
serrano49 amypro9 84 (12.0)
serrano50 amypro9 84 (14.0)
serrano51 amypro9 84 (12.0)
serrano52 amypro9 84 (12.0)
serrano53 amypro9 84 (16.0)
serrano54 amypro9 89 (7.5)
serrano55 amypro9 84 (4.0)
serrano56 amypro9 84 (20.0)
serrano57 amypro9 85 (9.0)
serrano58 amypro9 84 (13.0)
serrano60 amypro9 98 (5.0)
serrano61 amypro9 84 (16.0)
serrano62 amypro9 85 (9.0)
serrano63 amypro9 99 (7.0)
serrano64 amypro9 84 (8.0)
serrano65 amypro9 89 (4.0)
serrano66 amypro9 95 (5.0)
serrano67 amypro9 84 (3.5)
serrano68 amypro9 90 (7.5)
serrano69 amypro9 84 (4.0)
serrano70 amypro9 95 (6.0)
serrano71 amypro9 97 (3.0)
serrano72 amypro9 84 (11.0)
serrano73 amypro9 95 (6.0)
serrano74 amypro9 112 (6.0)
serrano75 amypro9 93 (10.0)
serrano76 amypro9 84 (13.0)
serrano77 amypro9 84 (4.0)
serrano78 amypro9 84 (5.0)
serrano79 amypro9 84 (10.0)
serrano80 amypro9 84 (10.0)
serrano81 amypro9 84 (7.0)
serrano82 amypro9 84 (6.0)
serrano83 amypro9 84 (5.5)
serrano84 amypro9 84 (9.0)
serrano85 amypro9 97 (2.5)
serrano86 amypro9 84 (9.0)
serrano87 amypro9 94 (7.0)
serrano88 amypro9 84 (7.0)
serrano89 amypro9 84 (15.0)
serrano90 amypro9 84 (11.0)
serrano91 amypro9 84 (3.0)
serrano92 amypro9 84 (16.0)
serrano93 amypro9 88 (19.5)
serrano94 amypro9 85 (20.0)
serrano95 amypro9 93 (4.0)
serrano96 amypro9 84 (4.0)
serrano97 amypro9 91 (10.0)
serrano98 amypro9 84 (3.0)
serrano99 amypro9 84 (9.0)
serrano100 amypro9 84 (4.0)
serrano101 amypro9 84 (12.0)
serrano102 amypro9 90 (11.5)
serrano103 amypro9 84 (13.0)
serrano104 amypro9 84 (11.0)
serrano105 amypro9 84 (6.0)
serrano106 amypro9 84 (13.0)
serrano107 amypro9 84 (16.0)
serrano108 amypro9 84 (16.0)
serrano109 amypro9 84 (16.0)
serrano110 amypro9 86 (16.0)
serrano111 amypro9 84 (11.0)
serrano112 amypro9 84 (7.0)
serrano113 amypro9 84 (6.0)
serrano114 amypro9 84 (12.0)
serrano115 amypro9 84 (3.0)
serrano116 amypro9 84 (11.0)
serrano117 amypro9 86 (10.0)
serrano118 amypro9 89 (17.0)
serrano119 amypro9 84 (8.0)
serrano120 amypro9 84 (8.0)
serrano121 amypro9 91 (2.0)
serrano122 amypro9 84 (13.0)
serrano123 amypro9 96 (6.0)
serrano124 amypro9 86 (13.5)
serrano125 amypro9 84 (16.0)
serrano126 amypro9 94 (6.0)
serrano127 amypro9 84 (7.0)
serrano128 amypro9 85 (11.0)
serrano129 amypro9 84 (6.0)
serrano130 amypro9 84 (4.5)
serrano131 amypro9 95 (1.0)
serrano132 amypro9 97 (7.0)
serrano133 amypro9 88 (8.5)
serrano134 amypro9 84 (10.0)
serrano135 amypro9 84 (2.0)
serrano136 amypro9 90 (9.0)
serrano137 amypro9 99 (8.0)
serrano138 amypro9 95 (5.0)
serrano139 amypro9 84 (10.0)
serrano140 amypro9 89 (5.0)
serrano141 amypro9 84 (7.0)
serrano142 amypro9 84 (7.0)
serrano143 amypro9 97 (4.0)
serrano144 amypro9 97 (3.0)
serrano145 amypro9 85 (6.5)
serrano146 amypro9 84 (3.0)
serrano147 amypro9 96 (6.0)
serrano148 amypro9 86 (13.0)
serrano149 amypro9 87 (6.0)
serrano150 amypro9 84 (12.0)
